brand,model,source_type,url,source_domain,url_host,country,language,research_confidence,research_rank,source_validation,extraction_status,extraction_confidence,notes
Tesla,Model Y,manufacturer_configurator,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Tesla,Model Y,manufacturer_model_page,https://www.tesla.com/sv_SE/modely,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Tesla,Model Y,manufacturer_specs_page,https://www.tesla.com/sv_SE/modely/design,tesla.com,tesla.com,SE,sv,high,2,research_candidate_unvalidated,needs_validation,,Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator.
Volvo,EX30,manufacturer_configurator,https://www.volvocars.com/se/build/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Volvo,EX30,manufacturer_model_page,https://www.volvocars.com/se/cars/ex30-electric/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Volvo,EX30,manufacturer_specs_page,https://www.volvocars.com/se/cars/ex30-electric/specifications/,volvocars.com,volvocars.com,SE,sv,high,3,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed.
Polestar,4,manufacturer_configurator,https://www.polestar.com/se/polestar-4/order/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Polestar,4,manufacturer_model_page,https://www.polestar.com/se/polestar-4/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Polestar,4,manufacturer_specs_page,https://www.polestar.com/se/polestar-4/specifications/,polestar.com,polestar.com,SE,sv,high,5,research_candidate_unvalidated,needs_validation,,Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/.
Kia,EV3,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev3/upptack/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Kia,EV3,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,kia.com,kia.com,SE,sv,high,6,research_candidate_unvalidated,needs_validation,,Verified. Kia has the cleanest structure: dedicated specifications + price list URLs.
Toyota,bZ4X,manufacturer_configurator,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Toyota,bZ4X,manufacturer_model_page,https://www.toyota.se/nya-bilar/bz4x/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Toyota,bZ4X,manufacturer_specs_page,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,toyota.se,toyota.se,SE,sv,high,7,research_candidate_unvalidated,needs_validation,,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
Kia,EV5,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev5/upptack/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Kia,EV5,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,kia.com,kia.com,SE,sv,high,8,research_candidate_unvalidated,needs_validation,,Same Kia pattern as EV3.
Skoda,Enyaq,manufacturer_configurator,https://clg.skoda-auto.com,skoda.se,clg.skoda-auto.com,SE,sv,high,9,research_candidate_unvalidated,needs_validation,,Verified. Price list is a downloadable PDF (UUID-based filename — may rotate). External configurator domain.
Skoda,Enyaq,manufacturer_model_page,https://www.skoda.se/modeller/enyaq/,skoda.se,skoda.se,SE,sv,high,9,research_candidate_unvalidated,needs_validation,,Verified. Price list is a downloadable PDF (UUID-based filename — may rotate). External configurator domain.
Skoda,Enyaq,manufacturer_price_list,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,skoda.se,skoda.se,SE,sv,high,9,research_candidate_unvalidated,needs_validation,,Verified. Price list is a downloadable PDF (UUID-based filename — may rotate). External configurator domain.
Volkswagen,ID.4,manufacturer_configurator,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4/konfigurator.html,volkswagen.se,volkswagen.se,SE,sv,medium,10,research_candidate_unvalidated,needs_validation,,VW pattern: /elbilar/vara-elbilar/idN.html. Verified pattern via ID.7.
Volkswagen,ID.4,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,volkswagen.se,volkswagen.se,SE,sv,medium,10,research_candidate_unvalidated,needs_validation,,VW pattern: /elbilar/vara-elbilar/idN.html. Verified pattern via ID.7.
Kia,EV9,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev9,kia.com,kia.com,SE,sv,high,12,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV9,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev9/upptack/,kia.com,kia.com,SE,sv,high,12,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV9,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,12,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV9,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev9/specifikationer/,kia.com,kia.com,SE,sv,high,12,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Mercedes-Benz,EQA,manufacturer_configurator,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,13,research_candidate_unvalidated,needs_validation,,Official Swedish Mercedes-Benz EQA price/specification URL preferred because overview text lacks technical data.
Mercedes-Benz,EQA,manufacturer_model_page,https://www.mercedes-benz.se/passengercars/models/suv/eqa/overview.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,13,research_candidate_unvalidated,needs_validation,,Official Swedish Mercedes-Benz EQA price/specification URL preferred because overview text lacks technical data.
Mercedes-Benz,EQA,manufacturer_specs_page,https://www.mercedes-benz.se/passengercars/models/suv/h243-fl-25-2-spa/finance.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,13,research_candidate_unvalidated,needs_validation,,Official Swedish Mercedes-Benz EQA price/specification URL preferred because overview text lacks technical data.
Renault,5 E-Tech,manufacturer_configurator,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,renault.se,SE,sv,high,14,research_candidate_unvalidated,needs_validation,,"Verified. Renault combines specs + prices on one page. Mobility Sweden ""5"" maps to ""5 E-Tech electric"" canonical."
Renault,5 E-Tech,manufacturer_model_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric,renault.se,renault.se,SE,sv,high,14,research_candidate_unvalidated,needs_validation,,"Verified. Renault combines specs + prices on one page. Mobility Sweden ""5"" maps to ""5 E-Tech electric"" canonical."
Renault,5 E-Tech,manufacturer_price_list,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,renault.se,SE,sv,high,14,research_candidate_unvalidated,needs_validation,,"Verified. Renault combines specs + prices on one page. Mobility Sweden ""5"" maps to ""5 E-Tech electric"" canonical."
Renault,5 E-Tech,manufacturer_specs_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,renault.se,SE,sv,high,14,research_candidate_unvalidated,needs_validation,,"Verified. Renault combines specs + prices on one page. Mobility Sweden ""5"" maps to ""5 E-Tech electric"" canonical."
BMW,iX1,manufacturer_configurator,https://hitta.bmw.se/r/U11-iX1,bmw.se,hitta.bmw.se,SE,sv,high,15,research_candidate_unvalidated,needs_validation,,"Verified. BMW SE has split structure: alla-modeller for product info, hitta.bmw.se for configurator/availability."
BMW,iX1,manufacturer_model_page,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1.html,bmw.se,bmw.se,SE,sv,high,15,research_candidate_unvalidated,needs_validation,,"Verified. BMW SE has split structure: alla-modeller for product info, hitta.bmw.se for configurator/availability."
BMW,iX1,manufacturer_specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/iX1/tekniska-data.html,bmw.se,bmw.se,SE,sv,high,15,research_candidate_unvalidated,needs_validation,,"Verified. BMW SE has split structure: alla-modeller for product info, hitta.bmw.se for configurator/availability."
Tesla,Model 3,manufacturer_configurator,https://www.tesla.com/sv_SE/model3/design,tesla.com,tesla.com,SE,sv,high,17,research_candidate_unvalidated,needs_validation,,Same Tesla pattern as Model Y. 403 on direct fetch.
Tesla,Model 3,manufacturer_model_page,https://www.tesla.com/sv_SE/model3,tesla.com,tesla.com,SE,sv,high,17,research_candidate_unvalidated,needs_validation,,Same Tesla pattern as Model Y. 403 on direct fetch.
Tesla,Model 3,manufacturer_specs_page,https://www.tesla.com/sv_SE/model3/design,tesla.com,tesla.com,SE,sv,high,17,research_candidate_unvalidated,needs_validation,,Same Tesla pattern as Model Y. 403 on direct fetch.
BMW,iX3,manufacturer_configurator,https://hitta.bmw.se/r/NA5-iX3,bmw.se,hitta.bmw.se,SE,sv,high,18,research_candidate_unvalidated,needs_validation,,Verified. iX3 sits under x-serie (not bmw-i) since it's a Neue Klasse SUV. New 2026 model.
BMW,iX3,manufacturer_model_page,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3.html,bmw.se,bmw.se,SE,sv,high,18,research_candidate_unvalidated,needs_validation,,Verified. iX3 sits under x-serie (not bmw-i) since it's a Neue Klasse SUV. New 2026 model.
BMW,iX3,manufacturer_specs_page,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3-tekniska-data.html,bmw.se,bmw.se,SE,sv,high,18,research_candidate_unvalidated,needs_validation,,Verified. iX3 sits under x-serie (not bmw-i) since it's a Neue Klasse SUV. New 2026 model.
Kia,EV6,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev6,kia.com,kia.com,SE,sv,high,19,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV6,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev6/upptack/,kia.com,kia.com,SE,sv,high,19,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV6,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,19,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV6,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev6/specifikationer/,kia.com,kia.com,SE,sv,high,19,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Audi,Q4 e-tron,manufacturer_configurator,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/designa/,audi.se,audi.se,SE,sv,high,20,research_candidate_unvalidated,needs_validation,,Verified. Audi pattern: /sv/models/{model}/. Sportback variant under same model group.
Audi,Q4 e-tron,manufacturer_model_page,https://www.audi.se/sv/models/q4-e-tron/,audi.se,audi.se,SE,sv,high,20,research_candidate_unvalidated,needs_validation,,Verified. Audi pattern: /sv/models/{model}/. Sportback variant under same model group.
Audi,Q4 e-tron,manufacturer_specs_page,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/,audi.se,audi.se,SE,sv,high,20,research_candidate_unvalidated,needs_validation,,Verified. Audi pattern: /sv/models/{model}/. Sportback variant under same model group.
Audi,A6 e-tron,manufacturer_configurator,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/designa/,audi.se,audi.se,SE,sv,medium,21,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron. Verify before extracting.
Audi,A6 e-tron,manufacturer_model_page,https://www.audi.se/sv/models/a6-e-tron/,audi.se,audi.se,SE,sv,medium,21,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron. Verify before extracting.
Audi,A6 e-tron,manufacturer_specs_page,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/,audi.se,audi.se,SE,sv,medium,21,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron. Verify before extracting.
BMW,i4,manufacturer_configurator,https://hitta.bmw.se/r/G26-i4,bmw.se,hitta.bmw.se,SE,sv,high,22,research_candidate_unvalidated,needs_validation,,BMW i-series pattern.
BMW,i4,manufacturer_model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/bmw-i4.html,bmw.se,bmw.se,SE,sv,high,22,research_candidate_unvalidated,needs_validation,,BMW i-series pattern.
BMW,i4,manufacturer_specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/tekniska-data.html,bmw.se,bmw.se,SE,sv,high,22,research_candidate_unvalidated,needs_validation,,BMW i-series pattern.
BMW,i5,manufacturer_configurator,https://hitta.bmw.se/r/G60-i5,bmw.se,hitta.bmw.se,SE,sv,medium,23,research_candidate_unvalidated,needs_validation,,i5 sits under 5-serie (not bmw-i). Verify URL before extraction.
BMW,i5,manufacturer_model_page,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan.html,bmw.se,bmw.se,SE,sv,medium,23,research_candidate_unvalidated,needs_validation,,i5 sits under 5-serie (not bmw-i). Verify URL before extraction.
BMW,i5,manufacturer_specs_page,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan-tekniska-data.html,bmw.se,bmw.se,SE,sv,medium,23,research_candidate_unvalidated,needs_validation,,i5 sits under 5-serie (not bmw-i). Verify URL before extraction.
Volkswagen,ID.3,manufacturer_configurator,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3/konfigurator.html,volkswagen.se,volkswagen.se,SE,sv,medium,24,research_candidate_unvalidated,needs_validation,,VW pattern.
Volkswagen,ID.3,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,volkswagen.se,volkswagen.se,SE,sv,medium,24,research_candidate_unvalidated,needs_validation,,VW pattern.
Ford,Explorer,manufacturer_configurator,https://ford.se/configurators/new?car_model_id=31,ford.se,ford.se,SE,sv,high,25,research_candidate_unvalidated,needs_validation,,Verified. Ford has dedicated brochure/pricelist URL with car_model_id. Strong structure for automation.
Ford,Explorer,manufacturer_model_page,https://ford.se/personbilar/elektriska-explorer,ford.se,ford.se,SE,sv,high,25,research_candidate_unvalidated,needs_validation,,Verified. Ford has dedicated brochure/pricelist URL with car_model_id. Strong structure for automation.
Ford,Explorer,manufacturer_price_list,https://ford.se/brochures_and_pricelists/31,ford.se,ford.se,SE,sv,high,25,research_candidate_unvalidated,needs_validation,,Verified. Ford has dedicated brochure/pricelist URL with car_model_id. Strong structure for automation.
Ford,Explorer,manufacturer_specs_page,https://ford.se/personbilar/elektriska-explorer/versioner,ford.se,ford.se,SE,sv,high,25,research_candidate_unvalidated,needs_validation,,Verified. Ford has dedicated brochure/pricelist URL with car_model_id. Strong structure for automation.
Cupra,Born,manufacturer_configurator,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,cupraofficial.se,cupraofficial.se,SE,sv,high,26,research_candidate_unvalidated,needs_validation,,Verified. Note domain is cupraofficial.se (not cupra.se).
Cupra,Born,manufacturer_model_page,https://www.cupraofficial.se/bilar/born,cupraofficial.se,cupraofficial.se,SE,sv,high,26,research_candidate_unvalidated,needs_validation,,Verified. Note domain is cupraofficial.se (not cupra.se).
Cupra,Born,manufacturer_specs_page,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,cupraofficial.se,cupraofficial.se,SE,sv,high,26,research_candidate_unvalidated,needs_validation,,Verified. Note domain is cupraofficial.se (not cupra.se).
Zeekr,7X,manufacturer_configurator,https://www.zeekr.eu/sv-se/models/7x/configure,zeekr.eu,zeekr.eu,SE,sv,medium,27,research_candidate_unvalidated,needs_validation,,Verified. Zeekr uses pan-EU domain with sv-se locale rather than zeekr.se. Configurator path inferred.
Zeekr,7X,manufacturer_model_page,https://www.zeekr.eu/sv-se/models/7x,zeekr.eu,zeekr.eu,SE,sv,medium,27,research_candidate_unvalidated,needs_validation,,Verified. Zeekr uses pan-EU domain with sv-se locale rather than zeekr.se. Configurator path inferred.
Zeekr,7X,manufacturer_specs_page,https://www.zeekr.eu/sv-se/models/7x/specifications,zeekr.eu,zeekr.eu,SE,sv,medium,27,research_candidate_unvalidated,needs_validation,,Verified. Zeekr uses pan-EU domain with sv-se locale rather than zeekr.se. Configurator path inferred.
Audi,Q6 e-tron,manufacturer_configurator,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/designa/,audi.se,audi.se,SE,sv,medium,28,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron.
Audi,Q6 e-tron,manufacturer_model_page,https://www.audi.se/sv/models/q6-e-tron/,audi.se,audi.se,SE,sv,medium,28,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron.
Audi,Q6 e-tron,manufacturer_specs_page,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/,audi.se,audi.se,SE,sv,medium,28,research_candidate_unvalidated,needs_validation,,Pattern inferred from Q4 e-tron.
Kia,EV4,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev4,kia.com,kia.com,SE,sv,high,29,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV4,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev4/upptack/,kia.com,kia.com,SE,sv,high,29,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV4,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,kia.com,SE,sv,high,29,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Kia,EV4,manufacturer_specs_page,https://www.kia.com/se/nya-bilar/ev4/specifikationer/,kia.com,kia.com,SE,sv,high,29,research_candidate_unvalidated,needs_validation,,Same Kia pattern.
Polestar,2,manufacturer_configurator,https://www.polestar.com/se/polestar-2/order/,polestar.com,polestar.com,SE,sv,high,30,research_candidate_unvalidated,needs_validation,,Verified pattern via Polestar 4.
Polestar,2,manufacturer_model_page,https://www.polestar.com/se/polestar-2/,polestar.com,polestar.com,SE,sv,high,30,research_candidate_unvalidated,needs_validation,,Verified pattern via Polestar 4.
Polestar,2,manufacturer_specs_page,https://www.polestar.com/se/polestar-2/specifications/,polestar.com,polestar.com,SE,sv,high,30,research_candidate_unvalidated,needs_validation,,Verified pattern via Polestar 4.
Volvo,ES90,manufacturer_configurator,https://www.volvocars.com/se/build/es90-electric/,volvocars.com,volvocars.com,SE,sv,high,31,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo's first 800V model.
Volvo,ES90,manufacturer_model_page,https://www.volvocars.com/se/cars/es90-electric/,volvocars.com,volvocars.com,SE,sv,high,31,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo's first 800V model.
Volvo,ES90,manufacturer_specs_page,https://www.volvocars.com/se/cars/es90-electric/specifications/,volvocars.com,volvocars.com,SE,sv,high,31,research_candidate_unvalidated,needs_validation,,Verified via Google. Volvo's first 800V model.
Mazda,6e,manufacturer_configurator,https://www.mazda.se/bygg-din-mazda/MAZDA_6e/5HB/,mazda.se,mazda.se,SE,sv,high,32,research_candidate_unvalidated,needs_validation,,Verified. Mazda has dedicated specifications/comparison page and configurator with body code.
Mazda,6e,manufacturer_model_page,https://www.mazda.se/modeller/mazda-6e/,mazda.se,mazda.se,SE,sv,high,32,research_candidate_unvalidated,needs_validation,,Verified. Mazda has dedicated specifications/comparison page and configurator with body code.
Mazda,6e,manufacturer_specs_page,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,mazda.se,mazda.se,SE,sv,high,32,research_candidate_unvalidated,needs_validation,,Verified. Mazda has dedicated specifications/comparison page and configurator with body code.
Skoda,Elroq,manufacturer_configurator,https://clg.skoda-auto.com,skoda.se,clg.skoda-auto.com,SE,sv,medium,33,research_candidate_unvalidated,needs_validation,,Pattern inferred from Enyaq. Price list is rotating UUID PDF — needs discovery script.
Skoda,Elroq,manufacturer_model_page,https://www.skoda.se/modeller/elroq/,skoda.se,skoda.se,SE,sv,medium,33,research_candidate_unvalidated,needs_validation,,Pattern inferred from Enyaq. Price list is rotating UUID PDF — needs discovery script.
Skoda,Elroq,manufacturer_price_list,https://www.skoda.se/_doc/{uuid},skoda.se,skoda.se,SE,sv,medium,33,research_candidate_unvalidated,needs_validation,,Pattern inferred from Enyaq. Price list is rotating UUID PDF — needs discovery script.
Volkswagen,ID. Buzz,manufacturer_configurator,https://www.volkswagen.se/sv/modeller/id-buzz/konfigurator.html,volkswagen.se,volkswagen.se,SE,sv,medium,35,research_candidate_unvalidated,needs_validation,,VW Buzz uses /modeller/ pattern (not /elbilar/vara-elbilar/) — inconsistent with sedan IDs.
Volkswagen,ID. Buzz,manufacturer_model_page,https://www.volkswagen.se/sv/modeller/id-buzz.html,volkswagen.se,volkswagen.se,SE,sv,medium,35,research_candidate_unvalidated,needs_validation,,VW Buzz uses /modeller/ pattern (not /elbilar/vara-elbilar/) — inconsistent with sedan IDs.
Volvo,EX90,manufacturer_configurator,https://www.volvocars.com/se/build/ex90-electric/,volvocars.com,volvocars.com,SE,sv,high,36,research_candidate_unvalidated,needs_validation,,Verified.
Volvo,EX90,manufacturer_model_page,https://www.volvocars.com/se/cars/ex90-electric/,volvocars.com,volvocars.com,SE,sv,high,36,research_candidate_unvalidated,needs_validation,,Verified.
Volvo,EX90,manufacturer_specs_page,https://www.volvocars.com/se/cars/ex90-electric/specifications/,volvocars.com,volvocars.com,SE,sv,high,36,research_candidate_unvalidated,needs_validation,,Verified.
BMW,iX,manufacturer_configurator,https://hitta.bmw.se/r/I20-iX,bmw.se,hitta.bmw.se,SE,sv,medium,37,research_candidate_unvalidated,needs_validation,,Pattern inferred from i4. Older Klassisches model — may have different URL.
BMW,iX,manufacturer_model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/bmw-ix.html,bmw.se,bmw.se,SE,sv,medium,37,research_candidate_unvalidated,needs_validation,,Pattern inferred from i4. Older Klassisches model — may have different URL.
BMW,iX,manufacturer_specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/tekniska-data.html,bmw.se,bmw.se,SE,sv,medium,37,research_candidate_unvalidated,needs_validation,,Pattern inferred from i4. Older Klassisches model — may have different URL.
MG,MG4,manufacturer_configurator,https://www.mgmotor.eu/sv-SE/model/mg4/configurator,mgmotor.eu,mgmotor.eu,SE,sv,medium,38,research_candidate_unvalidated,needs_validation,,MG Sweden (mg.se) is a thin landing — actual product info on pan-EU mgmotor.eu/sv-SE. Hedin Mobility is Swedish importer.
MG,MG4,manufacturer_model_page,https://www.mgmotor.eu/sv-SE/model/mg4,mgmotor.eu,mgmotor.eu,SE,sv,medium,38,research_candidate_unvalidated,needs_validation,,MG Sweden (mg.se) is a thin landing — actual product info on pan-EU mgmotor.eu/sv-SE. Hedin Mobility is Swedish importer.
MG,MG4,manufacturer_specs_page,https://www.mgmotor.eu/sv-SE/model/mg4/specifications,mgmotor.eu,mgmotor.eu,SE,sv,medium,38,research_candidate_unvalidated,needs_validation,,MG Sweden (mg.se) is a thin landing — actual product info on pan-EU mgmotor.eu/sv-SE. Hedin Mobility is Swedish importer.
Mercedes-Benz,EQE,manufacturer_configurator,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,39,research_candidate_unvalidated,needs_validation,,Verified Sedan URL. EQE SUV has separate URL: /passengercars/models/suv/eqe/overview.html — split if needed.
Mercedes-Benz,EQE,manufacturer_model_page,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/overview.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,39,research_candidate_unvalidated,needs_validation,,Verified Sedan URL. EQE SUV has separate URL: /passengercars/models/suv/eqe/overview.html — split if needed.
Mercedes-Benz,EQE,manufacturer_specs_page,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/specifications.html,mercedes-benz.se,mercedes-benz.se,SE,sv,high,39,research_candidate_unvalidated,needs_validation,,Verified Sedan URL. EQE SUV has separate URL: /passengercars/models/suv/eqe/overview.html — split if needed.
