rank,brand,canonical_model,mobility_sweden_name,model_page_url,price_list_url,specs_url,configurator_url,source_domain,confidence,needs_mapping,notes
1,Volvo,EX40,VOLVO EX/XC40,https://www.volvocars.com/se/cars/ex40-electric/,,https://www.volvocars.com/se/cars/ex40-electric/specifications/,https://www.volvocars.com/se/build/ex40-electric/,volvocars.com,medium,true,"Mobility Sweden bundles EX40 (renamed from XC40 Recharge) with XC40 ICE registrations. Confirm canonical split before publishing."
2,Tesla,Model Y,TESLA MODEL Y,https://www.tesla.com/sv_SE/modely,,https://www.tesla.com/sv_SE/modely/design,https://www.tesla.com/sv_SE/modely/design,tesla.com,high,false,"Tesla blocks scrapers (403). All info on single design URL. No PDF available; price embedded in configurator."
3,Volvo,EX30,VOLVO EX30,https://www.volvocars.com/se/cars/ex30-electric/,,https://www.volvocars.com/se/cars/ex30-electric/specifications/,https://www.volvocars.com/se/build/ex30-electric/,volvocars.com,high,false,"Verified via Google. Volvo blocks direct scraping; use cached/SSR pages or partner feed."
4,Volkswagen,ID.7,VW ID.7/ID.7 TOURER,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id7.html,,,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id7.html,volkswagen.se,medium,true,"Mobility Sweden bundles sedan + Tourer. Sedan URL verified. Inconsistent VW pattern: sedan under /elbilar/vara-elbilar/, Tourer under /modeller/."
4b,Volkswagen,ID.7 Tourer,VW ID.7/ID.7 TOURER,https://www.volkswagen.se/sv/modeller/id7-tourer.html,,,,volkswagen.se,medium,true,"Same model group in Mobility Sweden. Need to split if treated as separate canonical."
5,Polestar,4,POLESTAR 4,https://www.polestar.com/se/polestar-4/,,https://www.polestar.com/se/polestar-4/specifications/,https://www.polestar.com/se/polestar-4/order/,polestar.com,high,false,"Verified. Polestar has clean URL pattern: /se/polestar-N/specifications/."
6,Kia,EV3,KIA EV3,https://www.kia.com/se/nya-bilar/ev3/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev3/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,kia.com,high,false,"Verified. Kia has the cleanest structure: dedicated specifications + price list URLs."
7,Toyota,bZ4X,TOYOTA BZ4X,https://www.toyota.se/nya-bilar/bz4x/,,https://www.toyota.se/nya-bilar/bz4x/specifikationer/,https://www.toyota.se/nya-bilar/bz4x/bygg-och-kop/,toyota.se,high,false,"Verified. Page mentions ""rek. ca-pris från generalagent"". Configurator path inferred."
8,Kia,EV5,KIA EV5,https://www.kia.com/se/nya-bilar/ev5/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,kia.com,high,false,"Same Kia pattern as EV3."
9,Skoda,Enyaq,SKODA ENYAQ,https://www.skoda.se/modeller/enyaq/,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,,https://clg.skoda-auto.com,skoda.se,high,false,"Verified. Price list is a downloadable PDF (UUID-based filename — may rotate). External configurator domain."
10,Volkswagen,ID.4,VW ID.4,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,,,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4/konfigurator.html,volkswagen.se,medium,false,"VW pattern: /elbilar/vara-elbilar/idN.html. Verified pattern via ID.7."
11,Volvo,EC40,VOLVO EC/C40,https://www.volvocars.com/se/cars/ec40-electric/,,https://www.volvocars.com/se/cars/ec40-electric/specifications/,https://www.volvocars.com/se/build/ec40-electric/,volvocars.com,medium,true,"Mobility Sweden bundles EC40 (renamed from C40 Recharge) with C40 mild-hybrid. Same canonical split as EX/XC40."
12,Kia,EV9,KIA EV9,https://www.kia.com/se/nya-bilar/ev9/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev9/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev9,kia.com,high,false,"Same Kia pattern."
13,Mercedes-Benz,EQA,MERCEDES EQA,https://www.mercedes-benz.se/passengercars/models/suv/eqa/overview.html,,https://www.mercedes-benz.se/passengercars/mercedes-benz-cars/models/eqa/explore.html?urlReference=937cb25de1b4467c85b1a4b7fcb32810,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,mercedes-benz.se,high,false,"Official Swedish Mercedes-Benz EQA price/specification URL preferred because overview text lacks technical data."
14,Renault,5 E-Tech,RENAULT 5,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,high,false,"Verified. Renault combines specs + prices on one page. Mobility Sweden ""5"" maps to ""5 E-Tech electric"" canonical."
15,BMW,iX1,BMW IX1,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1.html,,https://www.bmw.se/sv/alla-modeller/bmw-i/iX1/tekniska-data.html,https://hitta.bmw.se/r/U11-iX1,bmw.se,high,false,"Verified. BMW SE has split structure: alla-modeller for product info, hitta.bmw.se for configurator/availability."
16,Mercedes-Benz,CLA,MERCEDES CLA,https://www.mercedes-benz.se/passengercars/models/saloon/cla/overview.html,,https://www.mercedes-benz.se/passengercars/models/saloon/cla/specifications.html,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,mercedes-benz.se,medium,true,"Mobility Sweden ""CLA"" likely refers to ""CLA with EQ Technology"" (electric variant). Confirm vs ICE CLA before publishing. Fleet page available at /cars-guide/fleet-business/modeller/cla-eq.html."
17,Tesla,Model 3,TESLA MODEL 3,https://www.tesla.com/sv_SE/model3,,https://www.tesla.com/sv_SE/model3/design,https://www.tesla.com/sv_SE/model3/design,tesla.com,high,false,"Same Tesla pattern as Model Y. 403 on direct fetch."
18,BMW,iX3,BMW IX3,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3.html,,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3-tekniska-data.html,https://hitta.bmw.se/r/NA5-iX3,bmw.se,high,false,"Verified. iX3 sits under x-serie (not bmw-i) since it's a Neue Klasse SUV. New 2026 model."
19,Kia,EV6,KIA EV6,https://www.kia.com/se/nya-bilar/ev6/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev6/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev6,kia.com,high,false,"Same Kia pattern."
20,Audi,Q4 e-tron,AUDI Q4 E-TRON,https://www.audi.se/sv/models/q4-e-tron/,,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/designa/,audi.se,high,false,"Verified. Audi pattern: /sv/models/{model}/. Sportback variant under same model group."
21,Audi,A6 e-tron,AUDI A6 E-TRON,https://www.audi.se/sv/models/a6-e-tron/,,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/designa/,audi.se,medium,false,"Pattern inferred from Q4 e-tron. Verify before extracting."
22,BMW,i4,BMW I4,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/bmw-i4.html,,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/tekniska-data.html,https://hitta.bmw.se/r/G26-i4,bmw.se,high,false,"BMW i-series pattern."
23,BMW,i5,BMW I5,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan.html,,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan-tekniska-data.html,https://hitta.bmw.se/r/G60-i5,bmw.se,medium,false,"i5 sits under 5-serie (not bmw-i). Verify URL before extraction."
24,Volkswagen,ID.3,VW ID.3,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,,,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3/konfigurator.html,volkswagen.se,medium,false,"VW pattern."
25,Ford,Explorer,FORD EXPLORER,https://ford.se/personbilar/elektriska-explorer,https://ford.se/brochures_and_pricelists/31,https://ford.se/personbilar/elektriska-explorer/versioner,https://ford.se/configurators/new?car_model_id=31,ford.se,high,false,"Verified. Ford has dedicated brochure/pricelist URL with car_model_id. Strong structure for automation."
26,Cupra,Born,CUPRA BORN,https://www.cupraofficial.se/bilar/born,,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,cupraofficial.se,high,false,"Verified. Note domain is cupraofficial.se (not cupra.se)."
27,Zeekr,7X,ZEEKR 7X,https://www.zeekr.eu/sv-se/models/7x,,https://www.zeekr.eu/sv-se/models/7x/specifications,https://www.zeekr.eu/sv-se/models/7x/configure,zeekr.eu,medium,false,"Verified. Zeekr uses pan-EU domain with sv-se locale rather than zeekr.se. Configurator path inferred."
28,Audi,Q6 e-tron,AUDI Q6 E-TRON,https://www.audi.se/sv/models/q6-e-tron/,,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/designa/,audi.se,medium,false,"Pattern inferred from Q4 e-tron."
29,Kia,EV4,KIA EV4,https://www.kia.com/se/nya-bilar/ev4/upptack/,https://www.kia.com/se/kopa/prislista/,https://www.kia.com/se/nya-bilar/ev4/specifikationer/,https://www.kia.com/se/kopa/bygg-din-kia/#/ev4,kia.com,high,false,"Same Kia pattern."
30,Polestar,2,POLESTAR 2,https://www.polestar.com/se/polestar-2/,,https://www.polestar.com/se/polestar-2/specifications/,https://www.polestar.com/se/polestar-2/order/,polestar.com,high,false,"Verified pattern via Polestar 4."
31,Volvo,ES90,VOLVO ES90,https://www.volvocars.com/se/cars/es90-electric/,,https://www.volvocars.com/se/cars/es90-electric/specifications/,https://www.volvocars.com/se/build/es90-electric/,volvocars.com,high,false,"Verified via Google. Volvo's first 800V model."
32,Mazda,6e,MAZDA 6E,https://www.mazda.se/modeller/mazda-6e/,,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,https://www.mazda.se/bygg-din-mazda/MAZDA_6e/5HB/,mazda.se,high,false,"Verified. Mazda has dedicated specifications/comparison page and configurator with body code."
33,Skoda,Elroq,SKODA ELROQ,https://www.skoda.se/modeller/elroq/,https://www.skoda.se/_doc/{uuid},,https://clg.skoda-auto.com,skoda.se,medium,false,"Pattern inferred from Enyaq. Price list is rotating UUID PDF — needs discovery script."
34,Renault,Scenic E-Tech,RENAULT SCENIC,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric/versioner_och_priser,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric/versioner_och_priser,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric/versioner_och_priser,renault.se,medium,true,"Mobility Sweden ""Scenic"" maps to ""Scenic E-Tech electric"" (the EV — old Scenic ICE was discontinued). Verify before publishing."
35,Volkswagen,ID. Buzz,VW ID. BUZZ,https://www.volkswagen.se/sv/modeller/id-buzz.html,,,https://www.volkswagen.se/sv/modeller/id-buzz/konfigurator.html,volkswagen.se,medium,false,"VW Buzz uses /modeller/ pattern (not /elbilar/vara-elbilar/) — inconsistent with sedan IDs."
36,Volvo,EX90,VOLVO EX90,https://www.volvocars.com/se/cars/ex90-electric/,,https://www.volvocars.com/se/cars/ex90-electric/specifications/,https://www.volvocars.com/se/build/ex90-electric/,volvocars.com,high,false,"Verified."
37,BMW,iX,BMW IX,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/bmw-ix.html,,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/tekniska-data.html,https://hitta.bmw.se/r/I20-iX,bmw.se,medium,false,"Pattern inferred from i4. Older Klassisches model — may have different URL."
38,MG,MG4,MG MG4 ELECTRIC,https://www.mgmotor.eu/sv-SE/model/mg4,,https://www.mgmotor.eu/sv-SE/model/mg4/specifications,https://www.mgmotor.eu/sv-SE/model/mg4/configurator,mgmotor.eu,medium,false,"MG Sweden (mg.se) is a thin landing — actual product info on pan-EU mgmotor.eu/sv-SE. Hedin Mobility is Swedish importer."
39,Mercedes-Benz,EQE,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/overview.html,,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/specifications.html,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,mercedes-benz.se,high,false,"Verified Sedan URL. EQE SUV has separate URL: /passengercars/models/suv/eqe/overview.html — split if needed."
